,0175,0350,0700,1050,2000
blocked RyR2,0.5049504950495063,1.0099009900990126,1.7420792079207967,2.6004950495049575,3.307425742574266
uniform RyR2CaM,0.5049504950495063,1.0099009900990126,1.9945544554455499,2.7014851485148585,3.5094059405940685
RyR2CaM in EPJ,0.5049504950495063,1.0099009900990126,1.8935643564356486,2.550000000000007,3.5599009900990195
RyR2 no CaM uniform,0.5554455445544569,1.4896039603960436,4.443564356435655,6.8420792079208095,8.962871287128735
RyR2 no CaM in EPJ,0.9089108910891113,1.8178217821782225,3.8376237623762477,6.564356435643582,7.902475247524772
aging RyR2 uniform,0.6059405940594076,1.1613861386138644,2.827722772277235,4.595049504950508,6.0594059405940754
aging RyR2 in EPJ,0.7826732673267347,1.4391089108910928,3.0801980198019883,4.670792079207933,6.034158415841601
