,0175,0350,0700,1050,2000
blocked RyR2,0.5301980198019816,1.363366336633667,2.499504950495056,3.307425742574266,4.014356435643575
uniform RyR2CaM,0.7321782178217842,1.6158415841584202,2.9287128712871366,4.014356435643576,4.620297029702983
RyR2CaM in EPJ,0.5806930693069322,1.4391089108910928,2.6257425742574325,3.686138613861396,4.4435643564356555
RyR2 no CaM uniform,2.4237623762376304,1.9945544554455499,3.9133663366336733,5.680693069306946,10.88168316831686
RyR2 no CaM in EPJ,1.5653465346534694,4.064851485148526,6.488613861386156,7.851980198019822,6.9206356439375e-310
aging RyR2 uniform,1.0856435643564386,3.0044554455445622,6.2108910891089275,8.35693069306933,9.695049504950521
aging RyR2 in EPJ,1.1866336633663397,2.474257425742581,5.125247524752489,7.018811881188138,8.02871287128715
