,0175,0350,0700,1050,2000
blocked RyR2,0.023951905049790265,0.03911329715971856,0.04299498537931924,0.05588777844951061,0.07532060677217754
uniform RyR2CaM,0.05588777844951061,0.05295965470958204,0.08142082082440141,0.09745675369767925,0.11319228716281758
RyR2CaM in EPJ,0.0365871393096863,0.051122341252334086,0.03911329715971856,0.0731742786193726,0.11403387709355414
RyR2 no CaM uniform,0.5880017885374206,0.0663198220163119,0.09613970999976741,0.14393303633677274,0.3281207015487222
RyR2 no CaM in EPJ,0.15481489020882228,0.2125895556804095,0.30517145942098406,0.20650561532289263,2.3505280087054765e+180
aging RyR2 uniform,0.0365871393096863,0.1403453559592186,0.32957449999054206,0.23263371266901509,0.32957449999054206
aging RyR2 in EPJ,0.051122341252334086,0.12265204908436607,0.1822374661511981,0.15481489020882228,0.12265204908436607
