,0175,0350,0700,1050,2000
blocked RyR2,0.883663366336636,1.843069306930698,2.9287128712871366,3.888118811881198,4.292079207920803
uniform RyR2CaM,1.0603960396039631,2.171287128712877,3.2316831683168403,4.216336633663377,4.948514851485162
RyR2CaM in EPJ,1.1866336633663397,1.9440594059405991,3.282178217821791,4.41831683168318,5.150495049504964
RyR2 no CaM uniform,4.165841584158427,6.564356435643582,8.281188118811905,9.695049504950521,10.906930693069336
RyR2 no CaM in EPJ,3.4589108910891184,5.907920792079223,8.508415841584181,10.1242574257426,6.9206356445715e-310
aging RyR2 uniform,1.9945544554455499,4.115346534653477,6.993564356435662,8.861881188118835,9.745544554455472
aging RyR2 in EPJ,2.019801980198025,4.115346534653476,6.185643564356452,8.55891089108913,9.568811881188143
