,0175,0350,0700,1050,2000
blocked RyR2,0.05355808788195151,0.051122341252334086,0.0731742786193726,0.052959654709582055,0.07141078384260201
uniform RyR2CaM,0.08598997075863848,0.0731742786193726,0.13736138533574443,0.09480437139915351,0.14371143029874156
RyR2CaM in EPJ,0.10130520148858273,0.08023788887976317,0.07141078384260201,0.10255593035555322,0.0638717467994407
RyR2 no CaM uniform,0.5250635403452273,0.501149057081803,0.3088051989791903,0.2770333476996464,0.3088051989791903
RyR2 no CaM in EPJ,0.3194585180127606,0.35382584162736624,0.36769619939497017,0.17655224170087203,2.519701861889029e+180
aging RyR2 uniform,0.1208193647156984,0.2812578790191353,0.09480437139915351,0.1309468171236413,0.17564730369846193
aging RyR2 in EPJ,0.09446758748785718,0.10741330858369484,0.1794173739062249,0.1491528375989783,0.11542289148193802
