,0175,0350,0700,1050,2000
blocked RyR2,0.0,0.0,0.05588777844951061,0.0365871393096863,0.04299498537931924
uniform RyR2CaM,0.0,0.0,0.023951905049790265,0.051122341252334086,0.05588777844951061
RyR2CaM in EPJ,0.0,0.0,0.05355808788195151,0.023951905049790258,0.05588777844951061
RyR2 no CaM uniform,0.031935873399720344,0.07532060677217754,0.6767090249150898,0.7127229115389021,0.5912989701585647
RyR2 no CaM in EPJ,0.0814208208244014,0.1277434935988814,0.1628416416488028,0.23684277599108466,0.2500652301921327
aging RyR2 uniform,0.03911329715971857,0.05295965470958204,0.06960262241154487,0.11177555689902122,0.12873762138278846
aging RyR2 in EPJ,0.06631982201631191,0.0365871393096863,0.05974654830457054,0.06436881069139425,0.08335507673071091
